MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
240,48,93,.516,9,21,.429,13,16,.813,8,32,40,30,11,2,18,23,118,,240,.590,.565,.226,.172,19.5,74.4,47.6,62.5,10.3,2.6,15.2,100.0,110.3,106.6,
240,45,87,.517,4,10,.400,20,31,.645,11,33,44,28,10,4,18,19,114,,240,.566,.540,.115,.356,25.6,80.5,52.4,62.2,9.3,5.6,15.2,100.0,106.6,110.3,
240,31,72,.431,9,27,.333,24,27,.889,10,31,41,19,6,2,14,24,95,,240,.566,.493,.375,.375,29.4,73.8,53.9,61.3,7.3,4.3,14.3,100.0,115.3,100.7,
240,29,70,.414,9,23,.391,16,26,.615,11,24,35,18,10,5,12,19,83,,240,.510,.479,.329,.371,26.2,70.6,46.1,62.1,12.1,11.1,12.8,100.0,100.7,115.3,
240,43,84,.512,10,28,.357,11,16,.688,10,40,50,32,7,4,7,18,107,,240,.588,.571,.333,.190,26.3,85.1,58.8,74.4,8.0,6.9,7.1,100.0,122.7,91.7,
240,32,80,.400,10,22,.455,6,13,.462,7,28,35,22,1,3,11,17,80,,240,.467,.463,.275,.163,14.9,73.7,41.2,68.8,1.1,5.4,11.4,100.0,91.7,122.7,
240,41,85,.482,12,31,.387,12,15,.800,9,30,39,25,10,4,15,18,106,,240,.579,.553,.365,.176,21.4,76.9,48.1,61.0,10.6,8.0,14.1,100.0,112.8,103.2,
240,34,79,.430,10,29,.345,19,23,.826,9,33,42,18,7,8,15,15,97,,240,.544,.494,.367,.291,23.1,78.6,51.9,52.9,7.4,14.8,14.4,100.0,103.2,112.8,
240,41,79,.519,13,26,.500,12,15,.800,6,33,39,33,9,2,11,21,107,,240,.625,.601,.329,.190,16.2,76.7,48.8,80.5,9.9,3.6,11.4,100.0,118.2,102.7,
240,32,80,.400,11,24,.458,18,24,.750,10,31,41,17,5,4,14,19,93,,240,.513,.469,.300,.300,23.3,83.8,51.3,53.1,5.5,7.5,13.4,100.0,102.7,118.2,
240,39,80,.488,10,26,.385,17,25,.680,9,36,45,28,7,2,8,24,105,,240,.577,.550,.325,.313,22.5,80.0,52.9,71.8,7.8,3.4,8.1,100.0,116.5,98.7,
240,36,81,.444,7,23,.304,10,22,.455,9,31,40,20,2,5,12,21,89,,240,.491,.488,.284,.272,20.0,77.5,47.1,55.6,2.2,9.3,11.7,100.0,98.7,116.5,
240,34,78,.436,8,34,.235,17,21,.810,10,25,35,24,6,4,21,19,93,,240,.533,.487,.436,.269,26.3,71.4,47.9,70.6,6.4,5.8,19.4,100.0,99.2,126.9,
240,46,86,.535,7,17,.412,20,22,.909,10,28,38,27,14,5,10,19,119,,240,.622,.576,.198,.256,28.6,73.7,52.1,58.7,14.9,11.4,9.5,100.0,126.9,99.2,
240,38,85,.447,5,19,.263,12,19,.632,13,28,41,16,11,4,11,23,93,,240,.498,.476,.224,.224,28.3,73.7,48.8,42.1,12.1,7.0,10.5,100.0,102.3,112.2,
240,38,76,.500,7,19,.368,19,23,.826,10,33,43,20,7,1,18,21,102,,240,.592,.546,.250,.303,26.3,71.7,51.2,52.6,7.7,1.5,17.3,100.0,112.2,102.3,
240,27,83,.325,4,26,.154,17,24,.708,5,34,39,15,11,4,13,18,75,,240,.401,.349,.313,.289,9.8,85.0,42.9,55.6,11.1,7.3,12.2,100.0,75.4,100.6,
240,36,81,.444,10,26,.385,18,21,.857,6,46,52,27,9,8,17,17,100,,240,.554,.506,.321,.259,15.0,90.2,57.1,75.0,9.0,14.0,15.9,100.0,100.6,75.4,
240,47,87,.540,6,17,.353,14,22,.636,13,31,44,24,7,0,11,24,114,,240,.590,.575,.195,.253,34.2,70.5,53.7,51.1,7.7,0.0,10.2,100.0,125.0,119.5,
240,41,85,.482,9,27,.333,18,23,.783,13,25,38,22,7,3,10,17,109,,240,.573,.535,.318,.271,29.5,65.8,46.3,53.7,7.7,4.3,9.5,100.0,119.5,125.0,
240,44,80,.550,11,25,.440,14,19,.737,11,17,28,30,9,3,12,22,113,,240,.639,.619,.313,.238,28.9,50.0,38.9,68.2,10.3,4.9,12.0,100.0,129.5,134.1,
240,43,78,.551,9,17,.529,22,27,.815,17,27,44,30,5,0,16,24,117,,240,.651,.609,.218,.346,50.0,71.1,61.1,69.8,5.7,0.0,15.1,100.0,134.1,129.5,
240,39,79,.494,9,24,.375,19,24,.792,4,28,32,21,6,6,6,25,106,,240,.592,.551,.304,.304,10.3,62.2,38.1,53.8,6.5,8.0,6.3,100.0,115.6,109.0,
240,38,86,.442,4,11,.364,20,29,.690,17,35,52,23,3,2,15,15,100,,240,.506,.465,.128,.337,37.8,89.7,61.9,60.5,3.3,3.6,13.2,100.0,109.0,115.6,
240,30,84,.357,8,23,.348,13,19,.684,12,32,44,17,8,6,13,22,81,,240,.439,.405,.274,.226,21.8,72.7,44.4,56.7,8.7,10.5,12.3,100.0,88.5,107.1,
240,35,81,.432,10,24,.417,18,26,.692,12,43,55,22,8,4,13,17,98,,240,.530,.494,.296,.321,27.3,78.2,55.6,62.9,8.7,6.6,12.3,100.0,107.1,88.5,
315,48,108,.444,5,24,.208,21,28,.750,16,35,51,23,12,4,13,28,122,,315,.507,.468,.222,.259,29.1,77.8,51.0,47.9,10.6,6.6,9.8,100.0,108.1,104.6,
315,44,92,.478,9,31,.290,21,29,.724,10,39,49,26,7,6,20,25,118,,315,.563,.527,.337,.315,22.2,70.9,49.0,59.1,6.2,7.1,16.0,100.0,104.6,108.1,
240,35,74,.473,5,16,.313,17,25,.680,10,32,42,26,11,4,15,20,92,,240,.541,.507,.216,.338,26.3,76.2,52.5,74.3,12.2,6.2,15.0,100.0,101.9,99.7,
